,method,seed,k,epoch,train_test,tp,tn,fp,fn
115,original and cof,4,10,58,test,89,86,7,4
116,original and cof,4,10,59,train,2136,2779,270,913
117,original and cof,4,10,59,test,88,86,7,5
118,original and cof,4,10,60,train,2113,2787,262,936
119,original and cof,4,10,60,test,88,86,7,5
120,original and cof,4,10,61,train,2103,2798,251,946
121,original and cof,4,10,61,test,88,86,7,5
122,original and cof,4,10,62,train,2084,2808,241,965
123,original and cof,4,10,62,test,88,86,7,5
124,original and cof,4,10,63,train,2075,2816,233,974
125,original and cof,4,10,63,test,88,86,7,5
126,original and cof,4,10,64,train,2063,2820,229,986
127,original and cof,4,10,64,test,88,87,6,5
128,original and cof,4,10,65,train,2051,2825,224,998
129,original and cof,4,10,65,test,88,87,6,5
130,original and cof,4,10,66,train,2040,2837,212,1009
131,original and cof,4,10,66,test,88,87,6,5
132,original and cof,4,10,67,train,2034,2843,206,1015
133,original and cof,4,10,67,test,88,87,6,5
134,original and cof,4,10,68,train,2024,2849,200,1025
135,original and cof,4,10,68,test,87,87,6,6
136,original and cof,4,10,69,train,2017,2858,191,1032
137,original and cof,4,10,69,test,87,87,6,6
138,original and cof,4,10,70,train,2005,2863,186,1044
139,original and cof,4,10,70,test,87,87,6,6
140,original and cof,4,10,71,train,1994,2868,181,1055
141,original and cof,4,10,71,test,87,88,5,6
142,original and cof,4,10,72,train,1983,2870,179,1066
143,original and cof,4,10,72,test,87,88,5,6
144,original and cof,4,10,73,train,1975,2873,176,1074
145,original and cof,4,10,73,test,87,88,5,6
146,original and cof,4,10,74,train,1960,2875,174,1089
147,original and cof,4,10,74,test,87,88,5,6
148,original and cof,4,10,75,train,1953,2881,168,1096
149,original and cof,4,10,75,test,87,88,5,6
150,original and cof,4,10,76,train,1948,2884,165,1101
151,original and cof,4,10,76,test,87,88,5,6
152,original and cof,4,10,77,train,1945,2887,162,1104
153,original and cof,4,10,77,test,86,88,5,7
154,original and cof,4,10,78,train,1930,2891,158,1119
155,original and cof,4,10,78,test,85,88,5,8
156,original and cof,4,10,79,train,1929,2892,157,1120
157,original and cof,4,10,79,test,85,88,5,8
158,original and cof,4,10,80,train,1924,2896,153,1125
159,original and cof,4,10,80,test,85,88,5,8
160,original and cof,4,10,81,train,1919,2897,152,1130
161,original and cof,4,10,81,test,85,88,5,8
162,original and cof,4,10,82,train,1913,2900,149,1136
163,original and cof,4,10,82,test,85,88,5,8
164,original and cof,4,10,83,train,1912,2902,147,1137
165,original and cof,4,10,83,test,85,89,4,8
166,original and cof,4,10,84,train,1907,2905,144,1142
167,original and cof,4,10,84,test,85,89,4,8
168,original and cof,4,10,85,train,1904,2906,143,1145
169,original and cof,4,10,85,test,84,89,4,9
170,original and cof,4,10,86,train,1900,2910,139,1149
171,original and cof,4,10,86,test,84,89,4,9
172,original and cof,4,10,87,train,1899,2911,138,1150
173,original and cof,4,10,87,test,84,89,4,9
174,original and cof,4,10,88,train,1898,2913,136,1151
175,original and cof,4,10,88,test,84,89,4,9
176,original and cof,4,10,89,train,1894,2915,134,1155
177,original and cof,4,10,89,test,84,89,4,9
178,original and cof,4,10,90,train,1892,2916,133,1157
179,original and cof,4,10,90,test,83,89,4,10
180,original and cof,4,10,91,train,1892,2916,133,1157
181,original and cof,4,10,91,test,83,89,4,10
182,original and cof,4,10,92,train,1889,2918,131,1160
183,original and cof,4,10,92,test,83,89,4,10
184,original and cof,4,10,93,train,1888,2919,130,1161
185,original and cof,4,10,93,test,83,89,4,10
186,original and cof,4,10,94,train,1885,2919,130,1164
187,original and cof,4,10,94,test,83,89,4,10
188,original and cof,4,10,95,train,1884,2919,130,1165
189,original and cof,4,10,95,test,83,89,4,10
190,original and cof,4,10,96,train,1884,2919,130,1165
191,original and cof,4,10,96,test,82,89,4,11
192,original and cof,4,10,97,train,1884,2919,130,1165
193,original and cof,4,10,97,test,82,89,4,11
194,original and cof,4,10,98,train,1882,2919,130,1167
195,original and cof,4,10,98,test,82,89,4,11
196,original and cof,4,10,99,train,1881,2919,130,1168
197,original and cof,4,10,99,test,82,89,4,11
198,original and cof,4,10,100,train,1881,2919,130,1168
199,original and cof,4,10,100,test,82,89,4,11
200,original and cof,4,10,101,train,1884,2919,130,1165
201,original and cof,4,10,101,test,82,89,4,11
202,original and cof,4,10,102,train,1884,2919,130,1165
203,original and cof,4,10,102,test,82,89,4,11
204,original and cof,4,10,103,train,1884,2919,130,1165
