,method,seed,k,epoch,train_test,tp,tn,fp,fn
120,original and cof,0,1,61,train,134,247,39,152
121,original and cof,0,1,61,test,18,18,3,3
122,original and cof,0,1,62,train,134,248,38,152
123,original and cof,0,1,62,test,18,18,3,3
124,original and cof,0,1,63,train,134,248,38,152
125,original and cof,0,1,63,test,18,18,3,3
126,original and cof,0,1,64,train,134,248,38,152
127,original and cof,0,1,64,test,18,18,3,3
128,original and cof,0,1,65,train,134,249,37,152
129,original and cof,0,1,65,test,18,18,3,3
130,original and cof,0,1,66,train,134,250,36,152
131,original and cof,0,1,66,test,18,18,3,3
132,original and cof,0,1,67,train,134,250,36,152
133,original and cof,0,1,67,test,18,18,3,3
134,original and cof,0,1,68,train,134,250,36,152
135,original and cof,0,1,68,test,18,18,3,3
136,original and cof,0,1,69,train,134,250,36,152
137,original and cof,0,1,69,test,18,18,3,3
138,original and cof,0,1,70,train,134,250,36,152
139,original and cof,0,1,70,test,18,18,3,3
140,original and cof,0,1,71,train,134,250,36,152
141,original and cof,0,1,71,test,18,18,3,3
142,original and cof,0,1,72,train,134,250,36,152
143,original and cof,0,1,72,test,18,18,3,3
144,original and cof,0,1,73,train,134,250,36,152
145,original and cof,0,1,73,test,18,18,3,3
146,original and cof,0,1,74,train,134,250,36,152
147,original and cof,0,1,74,test,18,18,3,3
148,original and cof,0,1,75,train,134,250,36,152
149,original and cof,0,1,75,test,18,18,3,3
150,original and cof,0,1,76,train,134,250,36,152
151,original and cof,0,1,76,test,18,18,3,3
152,original and cof,0,1,77,train,134,250,36,152
153,original and cof,0,1,77,test,18,18,3,3
154,original and cof,0,1,78,train,134,251,35,152
155,original and cof,0,1,78,test,18,18,3,3
156,original and cof,0,1,79,train,134,251,35,152
157,original and cof,0,1,79,test,18,18,3,3
158,original and cof,0,1,80,train,134,251,35,152
159,original and cof,0,1,80,test,18,18,3,3
160,original and cof,0,1,81,train,134,251,35,152
161,original and cof,0,1,81,test,18,18,3,3
162,original and cof,0,1,82,train,134,251,35,152
163,original and cof,0,1,82,test,18,18,3,3
164,original and cof,0,1,83,train,134,251,35,152
165,original and cof,0,1,83,test,18,18,3,3
166,original and cof,0,1,84,train,134,251,35,152
167,original and cof,0,1,84,test,18,18,3,3
168,original and cof,0,1,85,train,134,251,35,152
169,original and cof,0,1,85,test,18,18,3,3
170,original and cof,0,1,86,train,134,251,35,152
171,original and cof,0,1,86,test,18,19,2,3
172,original and cof,0,1,87,train,134,251,35,152
173,original and cof,0,1,87,test,18,19,2,3
174,original and cof,0,1,88,train,134,251,35,152
175,original and cof,0,1,88,test,18,19,2,3
176,original and cof,0,1,89,train,134,251,35,152
177,original and cof,0,1,89,test,18,19,2,3
178,original and cof,0,1,90,train,134,251,35,152
179,original and cof,0,1,90,test,18,19,2,3
180,original and cof,0,1,91,train,134,251,35,152
181,original and cof,0,1,91,test,18,19,2,3
182,original and cof,0,1,92,train,134,251,35,152
183,original and cof,0,1,92,test,17,20,1,4
184,original and cof,0,1,93,train,134,251,35,152
185,original and cof,0,1,93,test,17,20,1,4
186,original and cof,0,1,94,train,134,251,35,152
187,original and cof,0,1,94,test,17,20,1,4
188,original and cof,0,1,95,train,134,251,35,152
189,original and cof,0,1,95,test,17,20,1,4
190,original and cof,0,1,96,train,134,251,35,152
191,original and cof,0,1,96,test,17,20,1,4
192,original and cof,0,1,97,train,134,251,35,152
193,original and cof,0,1,97,test,17,20,1,4
194,original and cof,0,1,98,train,134,252,34,152
195,original and cof,0,1,98,test,17,20,1,4
196,original and cof,0,1,99,train,134,251,35,152
197,original and cof,0,1,99,test,17,20,1,4
198,original and cof,0,1,100,train,134,253,33,152
199,original and cof,0,1,100,test,17,20,1,4
200,original and cof,0,1,101,train,134,252,34,152
201,original and cof,0,1,101,test,17,20,1,4
202,original and cof,0,1,102,train,134,253,33,152
203,original and cof,0,1,102,test,17,20,1,4
204,original and cof,0,1,103,train,134,252,34,152
205,original and cof,0,1,103,test,17,20,1,4
206,original and cof,0,1,104,train,134,253,33,152
207,original and cof,0,1,104,test,17,20,1,4
208,original and cof,0,1,105,train,134,253,33,152
209,original and cof,0,1,105,test,17,20,1,4
210,original and cof,0,1,106,train,134,253,33,152
211,original and cof,0,1,106,test,17,20,1,4
212,original and cof,0,1,107,train,134,253,33,152
213,original and cof,0,1,107,test,17,20,1,4
214,original and cof,0,1,108,train,134,253,33,152
215,original and cof,0,1,108,test,17,20,1,4
216,original and cof,0,1,109,train,134,253,33,152
217,original and cof,0,1,109,test,17,20,1,4
218,original and cof,0,1,110,train,134,253,33,152
219,original and cof,0,1,110,test,17,20,1,4
220,original and cof,0,1,111,train,134,253,33,152
221,original and cof,0,1,111,test,17,20,1,4
222,original and cof,0,1,112,train,134,253,33,152
223,original and cof,0,1,112,test,17,20,1,4
224,original and cof,0,1,113,train,134,253,33,152
225,original and cof,0,1,113,test,17,20,1,4
226,original and cof,0,1,114,train,134,253,33,152
227,original and cof,0,1,114,test,17,20,1,4
228,original and cof,0,1,115,train,134,253,33,152
229,original and cof,0,1,115,test,17,20,1,4
230,original and cof,0,1,116,train,134,253,33,152
231,original and cof,0,1,116,test,17,20,1,4
232,original and cof,0,1,117,train,134,253,33,152
233,original and cof,0,1,117,test,17,20,1,4
234,original and cof,0,1,118,train,134,253,33,152
235,original and cof,0,1,118,test,17,21,0,4
236,original and cof,0,1,119,train,134,253,33,152
237,original and cof,0,1,119,test,17,20,1,4
238,original and cof,0,1,120,train,134,253,33,152
239,original and cof,0,1,120,test,17,21,0,4
240,original and cof,0,1,121,train,134,253,33,152
241,original and cof,0,1,121,test,17,20,1,4
242,original and cof,0,1,122,train,134,253,33,152
243,original and cof,0,1,122,test,17,21,0,4
244,original and cof,0,1,123,train,134,253,33,152
245,original and cof,0,1,123,test,17,20,1,4
246,original and cof,0,1,124,train,134,253,33,152
247,original and cof,0,1,124,test,17,21,0,4
248,original and cof,0,1,125,train,134,253,33,152
249,original and cof,0,1,125,test,17,20,1,4
250,original and cof,0,1,126,train,134,253,33,152
251,original and cof,0,1,126,test,17,21,0,4
252,original and cof,0,1,127,train,134,253,33,152
253,original and cof,0,1,127,test,17,20,1,4
254,original and cof,0,1,128,train,134,253,33,152
255,original and cof,0,1,128,test,17,21,0,4
256,original and cof,0,1,129,train,134,253,33,152
257,original and cof,0,1,129,test,17,20,1,4
258,original and cof,0,1,130,train,134,253,33,152
259,original and cof,0,1,130,test,17,21,0,4
260,original and cof,0,1,131,train,134,253,33,152
261,original and cof,0,1,131,test,17,20,1,4
262,original and cof,0,1,132,train,134,253,33,152
263,original and cof,0,1,132,test,17,21,0,4
264,original and cof,0,1,133,train,134,253,33,152
265,original and cof,0,1,133,test,17,20,1,4
266,original and cof,0,1,134,train,134,253,33,152
267,original and cof,0,1,134,test,17,21,0,4
268,original and cof,0,1,135,train,134,253,33,152
269,original and cof,0,1,135,test,17,20,1,4
270,original and cof,0,1,136,train,134,255,31,152
271,original and cof,0,1,136,test,17,21,0,4
272,original and cof,0,1,137,train,134,253,33,152
273,original and cof,0,1,137,test,17,20,1,4
274,original and cof,0,1,138,train,134,257,29,152
275,original and cof,0,1,138,test,17,21,0,4
276,original and cof,0,1,139,train,134,253,33,152
277,original and cof,0,1,139,test,17,20,1,4
278,original and cof,0,1,140,train,134,257,29,152
279,original and cof,0,1,140,test,17,21,0,4
280,original and cof,0,1,141,train,134,253,33,152
281,original and cof,0,1,141,test,17,21,0,4
282,original and cof,0,1,142,train,134,257,29,152
283,original and cof,0,1,142,test,17,21,0,4
284,original and cof,0,1,143,train,134,253,33,152
285,original and cof,0,1,143,test,17,21,0,4
286,original and cof,0,1,144,train,134,257,29,152
287,original and cof,0,1,144,test,17,21,0,4
288,original and cof,0,1,145,train,134,253,33,152
289,original and cof,0,1,145,test,17,21,0,4
290,original and cof,0,1,146,train,134,257,29,152
291,original and cof,0,1,146,test,17,21,0,4
292,original and cof,0,1,147,train,134,253,33,152
293,original and cof,0,1,147,test,17,21,0,4
294,original and cof,0,1,148,train,134,258,28,152
295,original and cof,0,1,148,test,17,21,0,4
296,original and cof,0,1,149,train,134,253,33,152
297,original and cof,0,1,149,test,17,21,0,4
298,original and cof,0,1,150,train,134,258,28,152
299,original and cof,0,1,150,test,17,21,0,4
300,original and cof,0,1,151,train,134,253,33,152
301,original and cof,0,1,151,test,17,21,0,4
302,original and cof,0,1,152,train,134,258,28,152
303,original and cof,0,1,152,test,17,21,0,4
304,original and cof,0,1,153,train,134,253,33,152
305,original and cof,0,1,153,test,17,21,0,4
306,original and cof,0,1,154,train,134,258,28,152
307,original and cof,0,1,154,test,16,21,0,5
308,original and cof,0,1,155,train,134,253,33,152
309,original and cof,0,1,155,test,17,21,0,4
310,original and cof,0,1,156,train,134,258,28,152
311,original and cof,0,1,156,test,16,21,0,5
312,original and cof,0,1,157,train,134,253,33,152
313,original and cof,0,1,157,test,17,21,0,4
314,original and cof,0,1,158,train,134,258,28,152
315,original and cof,0,1,158,test,16,21,0,5
316,original and cof,0,1,159,train,134,253,33,152
317,original and cof,0,1,159,test,17,21,0,4
318,original and cof,0,1,160,train,134,258,28,152
319,original and cof,0,1,160,test,16,21,0,5
320,original and cof,0,1,161,train,134,253,33,152
321,original and cof,0,1,161,test,17,21,0,4
322,original and cof,0,1,162,train,134,258,28,152
323,original and cof,0,1,162,test,16,21,0,5
324,original and cof,0,1,163,train,134,253,33,152
325,original and cof,0,1,163,test,17,21,0,4
326,original and cof,0,1,164,train,134,258,28,152
327,original and cof,0,1,164,test,16,21,0,5
328,original and cof,0,1,165,train,134,255,31,152
329,original and cof,0,1,165,test,17,21,0,4
330,original and cof,0,1,166,train,134,258,28,152
331,original and cof,0,1,166,test,16,21,0,5
332,original and cof,0,1,167,train,134,255,31,152
333,original and cof,0,1,167,test,17,21,0,4
334,original and cof,0,1,168,train,134,258,28,152
335,original and cof,0,1,168,test,16,21,0,5
336,original and cof,0,1,169,train,134,257,29,152
337,original and cof,0,1,169,test,17,21,0,4
338,original and cof,0,1,170,train,134,258,28,152
339,original and cof,0,1,170,test,16,21,0,5
340,original and cof,0,1,171,train,134,257,29,152
341,original and cof,0,1,171,test,17,21,0,4
342,original and cof,0,1,172,train,134,258,28,152
343,original and cof,0,1,172,test,16,21,0,5
344,original and cof,0,1,173,train,134,257,29,152
345,original and cof,0,1,173,test,17,21,0,4
346,original and cof,0,1,174,train,134,258,28,152
347,original and cof,0,1,174,test,16,21,0,5
348,original and cof,0,1,175,train,134,257,29,152
349,original and cof,0,1,175,test,17,21,0,4
350,original and cof,0,1,176,train,134,258,28,152
351,original and cof,0,1,176,test,16,21,0,5
352,original and cof,0,1,177,train,134,257,29,152
353,original and cof,0,1,177,test,17,21,0,4
354,original and cof,0,1,178,train,134,258,28,152
355,original and cof,0,1,178,test,16,21,0,5
356,original and cof,0,1,179,train,134,257,29,152
357,original and cof,0,1,179,test,17,21,0,4
358,original and cof,0,1,180,train,134,259,27,152
359,original and cof,0,1,180,test,16,21,0,5
360,original and cof,0,1,181,train,134,258,28,152
361,original and cof,0,1,181,test,17,21,0,4
362,original and cof,0,1,182,train,134,259,27,152
363,original and cof,0,1,182,test,16,21,0,5
364,original and cof,0,1,183,train,134,258,28,152
365,original and cof,0,1,183,test,17,21,0,4
366,original and cof,0,1,184,train,134,259,27,152
367,original and cof,0,1,184,test,16,21,0,5
368,original and cof,0,1,185,train,134,258,28,152
369,original and cof,0,1,185,test,17,21,0,4
370,original and cof,0,1,186,train,134,260,26,152
371,original and cof,0,1,186,test,16,21,0,5
372,original and cof,0,1,187,train,134,258,28,152
373,original and cof,0,1,187,test,17,21,0,4
374,original and cof,0,1,188,train,134,262,24,152
375,original and cof,0,1,188,test,16,21,0,5
376,original and cof,0,1,189,train,134,258,28,152
377,original and cof,0,1,189,test,16,21,0,5
378,original and cof,0,1,190,train,134,262,24,152
379,original and cof,0,1,190,test,16,21,0,5
380,original and cof,0,1,191,train,134,258,28,152
381,original and cof,0,1,191,test,16,21,0,5
382,original and cof,0,1,192,train,134,262,24,152
383,original and cof,0,1,192,test,16,21,0,5
