,method,seed,k,epoch,train_test,tp,tn,fp,fn
2761,original and cof,0,4,181,test,20,21,0,1
2762,original and cof,0,4,182,train,231,252,34,55
2763,original and cof,0,4,182,test,21,21,0,0
2764,original and cof,0,4,183,train,231,252,34,55
2765,original and cof,0,4,183,test,21,21,0,0
2766,original and cof,0,4,184,train,233,252,34,53
2767,original and cof,0,4,184,test,21,21,0,0
2768,original and cof,0,4,185,train,233,252,34,53
2769,original and cof,0,4,185,test,21,21,0,0
2770,original and cof,0,4,186,train,233,253,33,53
2771,original and cof,0,4,186,test,21,21,0,0
2772,original and cof,0,4,187,train,233,253,33,53
2773,original and cof,0,4,187,test,21,21,0,0
2774,original and cof,0,4,188,train,236,253,33,50
2775,original and cof,0,4,188,test,21,21,0,0
2776,original and cof,0,4,189,train,236,253,33,50
2777,original and cof,0,4,189,test,21,21,0,0
2778,original and cof,0,4,190,train,236,254,32,50
2779,original and cof,0,4,190,test,21,21,0,0
2780,original and cof,0,4,191,train,236,254,32,50
2781,original and cof,0,4,191,test,21,21,0,0
2782,original and cof,0,4,192,train,237,254,32,49
2783,original and cof,0,4,192,test,21,21,0,0
2784,original and cof,0,4,193,train,237,254,32,49
2785,original and cof,0,4,193,test,21,21,0,0
2786,original and cof,0,4,194,train,237,254,32,49
2787,original and cof,0,4,194,test,21,21,0,0
2788,original and cof,0,4,195,train,239,254,32,47
2789,original and cof,0,4,195,test,21,21,0,0
2790,original and cof,0,4,196,train,239,254,32,47
2791,original and cof,0,4,196,test,21,21,0,0
2792,original and cof,0,4,197,train,239,254,32,47
2793,original and cof,0,4,197,test,21,21,0,0
2794,original and cof,0,4,198,train,241,253,33,45
2795,original and cof,0,4,198,test,21,21,0,0
2796,original and cof,0,4,199,train,239,256,30,47
2797,original and cof,0,4,199,test,21,21,0,0
2798,original and cof,0,4,200,train,243,251,35,43
2799,original and cof,0,4,200,test,21,21,0,0
2800,original and cof,0,4,201,train,239,256,30,47
2801,original and cof,0,4,201,test,20,21,0,1
2802,original and cof,0,4,202,train,244,251,35,42
2803,original and cof,0,4,202,test,21,21,0,0
2804,original and cof,0,4,203,train,241,256,30,45
2805,original and cof,0,4,203,test,20,21,0,1
2806,original and cof,0,4,204,train,244,251,35,42
2807,original and cof,0,4,204,test,21,21,0,0
2808,original and cof,0,4,205,train,241,256,30,45
2809,original and cof,0,4,205,test,20,21,0,1
2810,original and cof,0,4,206,train,244,251,35,42
2811,original and cof,0,4,206,test,21,21,0,0
2812,original and cof,0,4,207,train,241,256,30,45
2813,original and cof,0,4,207,test,20,21,0,1
2814,original and cof,0,4,208,train,244,251,35,42
2815,original and cof,0,4,208,test,21,21,0,0
2816,original and cof,0,4,209,train,241,256,30,45
2817,original and cof,0,4,209,test,20,21,0,1
2818,original and cof,0,4,210,train,244,251,35,42
2819,original and cof,0,4,210,test,21,21,0,0
2820,original and cof,0,4,211,train,241,256,30,45
2821,original and cof,0,4,211,test,20,21,0,1
2822,original and cof,0,4,212,train,248,251,35,38
2823,original and cof,0,4,212,test,21,21,0,0
2824,original and cof,0,4,213,train,241,256,30,45
2825,original and cof,0,4,213,test,20,21,0,1
2826,original and cof,0,4,214,train,248,251,35,38
2827,original and cof,0,4,214,test,21,21,0,0
2828,original and cof,0,4,215,train,243,256,30,43
2829,original and cof,0,4,215,test,20,21,0,1
2830,original and cof,0,4,216,train,250,252,34,36
2831,original and cof,0,4,216,test,21,21,0,0
2832,original and cof,0,4,217,train,243,256,30,43
2833,original and cof,0,4,217,test,20,21,0,1
2834,original and cof,0,4,218,train,250,252,34,36
2835,original and cof,0,4,218,test,21,21,0,0
2836,original and cof,0,4,219,train,243,255,31,43
2837,original and cof,0,4,219,test,20,21,0,1
2838,original and cof,0,4,220,train,251,253,33,35
2839,original and cof,0,4,220,test,21,21,0,0
2840,original and cof,0,4,221,train,243,255,31,43
2841,original and cof,0,4,221,test,20,21,0,1
2842,original and cof,0,4,222,train,252,253,33,34
2843,original and cof,0,4,222,test,21,21,0,0
2844,original and cof,0,4,223,train,243,255,31,43
2845,original and cof,0,4,223,test,20,21,0,1
2846,original and cof,0,4,224,train,252,253,33,34
2847,original and cof,0,4,224,test,21,21,0,0
2848,original and cof,0,4,225,train,248,255,31,38
2849,original and cof,0,4,225,test,20,21,0,1
2850,original and cof,0,4,226,train,252,253,33,34
2851,original and cof,0,4,226,test,21,21,0,0
2852,original and cof,0,4,227,train,248,255,31,38
2853,original and cof,0,4,227,test,20,21,0,1
2854,original and cof,0,4,228,train,252,253,33,34
2855,original and cof,0,4,228,test,21,21,0,0
2856,original and cof,0,4,229,train,248,255,31,38
2857,original and cof,0,4,229,test,20,21,0,1
2858,original and cof,0,4,230,train,254,253,33,32
2859,original and cof,0,4,230,test,21,21,0,0
2860,original and cof,0,4,231,train,248,254,32,38
2861,original and cof,0,4,231,test,20,21,0,1
2862,original and cof,0,4,232,train,255,252,34,31
2863,original and cof,0,4,232,test,21,21,0,0
2864,original and cof,0,4,233,train,249,254,32,37
2865,original and cof,0,4,233,test,20,21,0,1
2866,original and cof,0,4,234,train,255,252,34,31
2867,original and cof,0,4,234,test,21,21,0,0
2868,original and cof,0,4,235,train,249,254,32,37
2869,original and cof,0,4,235,test,20,21,0,1
2870,original and cof,0,4,236,train,255,252,34,31
2871,original and cof,0,4,236,test,21,21,0,0
2872,original and cof,0,4,237,train,252,254,32,34
2873,original and cof,0,4,237,test,20,21,0,1
2874,original and cof,0,4,238,train,255,252,34,31
2875,original and cof,0,4,238,test,21,21,0,0
2876,original and cof,0,4,239,train,252,254,32,34
2877,original and cof,0,4,239,test,20,21,0,1
2878,original and cof,0,4,240,train,256,252,34,30
2879,original and cof,0,4,240,test,21,21,0,0
2880,original and cof,0,4,241,train,252,254,32,34
2881,original and cof,0,4,241,test,20,21,0,1
2882,original and cof,0,4,242,train,257,252,34,29
2883,original and cof,0,4,242,test,21,21,0,0
2884,original and cof,0,4,243,train,252,254,32,34
2885,original and cof,0,4,243,test,20,21,0,1
2886,original and cof,0,4,244,train,257,252,34,29
2887,original and cof,0,4,244,test,21,21,0,0
2888,original and cof,0,4,245,train,253,254,32,33
2889,original and cof,0,4,245,test,20,21,0,1
2890,original and cof,0,4,246,train,257,252,34,29
2891,original and cof,0,4,246,test,21,21,0,0
2892,original and cof,0,4,247,train,253,254,32,33
2893,original and cof,0,4,247,test,20,21,0,1
2894,original and cof,0,4,248,train,257,252,34,29
2895,original and cof,0,4,248,test,21,21,0,0
2896,original and cof,0,4,249,train,253,254,32,33
2897,original and cof,0,4,249,test,20,21,0,1
2898,original and cof,0,4,250,train,257,252,34,29
2899,original and cof,0,4,250,test,21,21,0,0
2900,original and cof,0,4,251,train,253,254,32,33
2901,original and cof,0,4,251,test,20,21,0,1
2902,original and cof,0,4,252,train,257,252,34,29
2903,original and cof,0,4,252,test,21,21,0,0
2904,original and cof,0,4,253,train,253,254,32,33
2905,original and cof,0,4,253,test,20,21,0,1
2906,original and cof,0,4,254,train,259,252,34,27
2907,original and cof,0,4,254,test,21,21,0,0
2908,original and cof,0,4,255,train,253,254,32,33
2909,original and cof,0,4,255,test,20,21,0,1
2910,original and cof,0,4,256,train,259,252,34,27
2911,original and cof,0,4,256,test,21,21,0,0
2912,original and cof,0,4,257,train,255,254,32,31
2913,original and cof,0,4,257,test,20,21,0,1
2914,original and cof,0,4,258,train,259,252,34,27
2915,original and cof,0,4,258,test,21,21,0,0
2916,original and cof,0,4,259,train,255,254,32,31
2917,original and cof,0,4,259,test,20,21,0,1
2918,original and cof,0,4,260,train,259,252,34,27
2919,original and cof,0,4,260,test,21,21,0,0
2920,original and cof,0,4,261,train,255,254,32,31
2921,original and cof,0,4,261,test,20,21,0,1
2922,original and cof,0,4,262,train,259,252,34,27
2923,original and cof,0,4,262,test,21,21,0,0
2924,original and cof,0,4,263,train,255,252,34,31
2925,original and cof,0,4,263,test,20,21,0,1
2926,original and cof,0,4,264,train,259,252,34,27
2927,original and cof,0,4,264,test,21,21,0,0
2928,original and cof,0,4,265,train,255,252,34,31
2929,original and cof,0,4,265,test,20,21,0,1
2930,original and cof,0,4,266,train,259,252,34,27
2931,original and cof,0,4,266,test,21,21,0,0
2932,original and cof,0,4,267,train,256,253,33,30
2933,original and cof,0,4,267,test,20,21,0,1
2934,original and cof,0,4,268,train,259,252,34,27
2935,original and cof,0,4,268,test,21,21,0,0
2936,original and cof,0,4,269,train,257,253,33,29
2937,original and cof,0,4,269,test,20,21,0,1
2938,original and cof,0,4,270,train,259,252,34,27
2939,original and cof,0,4,270,test,21,21,0,0
2940,original and cof,0,4,271,train,257,253,33,29
2941,original and cof,0,4,271,test,20,21,0,1
2942,original and cof,0,4,272,train,259,252,34,27
2943,original and cof,0,4,272,test,21,21,0,0
2944,original and cof,0,4,273,train,257,253,33,29
2945,original and cof,0,4,273,test,20,21,0,1
2946,original and cof,0,4,274,train,259,251,35,27
2947,original and cof,0,4,274,test,21,21,0,0
2948,original and cof,0,4,275,train,257,253,33,29
2949,original and cof,0,4,275,test,20,21,0,1
2950,original and cof,0,4,276,train,259,251,35,27
2951,original and cof,0,4,276,test,21,21,0,0
2952,original and cof,0,4,277,train,257,253,33,29
2953,original and cof,0,4,277,test,20,21,0,1
2954,original and cof,0,4,278,train,259,251,35,27
2955,original and cof,0,4,278,test,21,21,0,0
2956,original and cof,0,4,279,train,257,253,33,29
2957,original and cof,0,4,279,test,20,21,0,1
2958,original and cof,0,4,280,train,259,251,35,27
2959,original and cof,0,4,280,test,21,21,0,0
2960,original and cof,0,4,281,train,257,253,33,29
2961,original and cof,0,4,281,test,20,21,0,1
2962,original and cof,0,4,282,train,259,251,35,27
2963,original and cof,0,4,282,test,21,21,0,0
2964,original and cof,0,4,283,train,257,253,33,29
2965,original and cof,0,4,283,test,20,21,0,1
2966,original and cof,0,4,284,train,259,250,36,27
2967,original and cof,0,4,284,test,21,21,0,0
2968,original and cof,0,4,285,train,257,253,33,29
2969,original and cof,0,4,285,test,20,21,0,1
2970,original and cof,0,4,286,train,259,250,36,27
2971,original and cof,0,4,286,test,21,21,0,0
2972,original and cof,0,4,287,train,257,253,33,29
2973,original and cof,0,4,287,test,20,21,0,1
2974,original and cof,0,4,288,train,259,250,36,27
2975,original and cof,0,4,288,test,21,21,0,0
2976,original and cof,0,4,289,train,257,253,33,29
2977,original and cof,0,4,289,test,20,21,0,1
2978,original and cof,0,4,290,train,259,250,36,27
2979,original and cof,0,4,290,test,21,21,0,0
2980,original and cof,0,4,291,train,257,253,33,29
2981,original and cof,0,4,291,test,20,21,0,1
2982,original and cof,0,4,292,train,259,249,37,27
2983,original and cof,0,4,292,test,21,21,0,0
2984,original and cof,0,4,293,train,257,253,33,29
2985,original and cof,0,4,293,test,20,21,0,1
2986,original and cof,0,4,294,train,259,249,37,27
2987,original and cof,0,4,294,test,21,21,0,0
2988,original and cof,0,4,295,train,259,253,33,27
2989,original and cof,0,4,295,test,20,21,0,1
2990,original and cof,0,4,296,train,259,249,37,27
2991,original and cof,0,4,296,test,21,21,0,0
2992,original and cof,0,4,297,train,259,253,33,27
2993,original and cof,0,4,297,test,20,21,0,1
2994,original and cof,0,4,298,train,259,249,37,27
2995,original and cof,0,4,298,test,21,21,0,0
2996,original and cof,0,4,299,train,259,253,33,27
2997,original and cof,0,4,299,test,20,21,0,1
2998,original and cof,0,4,300,train,259,249,37,27
2999,original and cof,0,4,300,test,21,21,0,0
3000,original and cof,0,4,301,train,259,253,33,27
3001,original and cof,0,4,301,test,20,21,0,1
3002,original and cof,0,4,302,train,259,249,37,27
3003,original and cof,0,4,302,test,21,21,0,0
3004,original and cof,0,4,303,train,259,253,33,27
3005,original and cof,0,4,303,test,20,21,0,1
3006,original and cof,0,4,304,train,259,249,37,27
3007,original and cof,0,4,304,test,21,21,0,0
3008,original and cof,0,4,305,train,259,253,33,27
3009,original and cof,0,4,305,test,20,21,0,1
3010,original and cof,0,4,306,train,259,249,37,27
3011,original and cof,0,4,306,test,21,21,0,0
3012,original and cof,0,4,307,train,259,253,33,27
3013,original and cof,0,4,307,test,20,21,0,1
3014,original and cof,0,4,308,train,259,249,37,27
3015,original and cof,0,4,308,test,21,21,0,0
3016,original and cof,0,4,309,train,259,253,33,27
3017,original and cof,0,4,309,test,20,21,0,1
3018,original and cof,0,4,310,train,259,249,37,27
3019,original and cof,0,4,310,test,21,21,0,0
3020,original and cof,0,4,311,train,259,253,33,27
3021,original and cof,0,4,311,test,20,21,0,1
3022,original and cof,0,4,312,train,259,249,37,27
3023,original and cof,0,4,312,test,21,21,0,0
3024,original and cof,0,4,313,train,259,253,33,27
3025,original and cof,0,4,313,test,20,21,0,1
3026,original and cof,0,4,314,train,259,249,37,27
3027,original and cof,0,4,314,test,21,21,0,0
3028,original and cof,0,4,315,train,259,253,33,27
3029,original and cof,0,4,315,test,20,21,0,1
3030,original and cof,0,4,316,train,259,249,37,27
3031,original and cof,0,4,316,test,21,21,0,0
3032,original and cof,0,4,317,train,259,253,33,27
3033,original and cof,0,4,317,test,20,21,0,1
3034,original and cof,0,4,318,train,259,249,37,27
3035,original and cof,0,4,318,test,21,21,0,0
3036,original and cof,0,4,319,train,259,253,33,27
3037,original and cof,0,4,319,test,20,21,0,1
3038,original and cof,0,4,320,train,259,249,37,27
3039,original and cof,0,4,320,test,21,21,0,0
3040,original and cof,0,4,321,train,259,253,33,27
3041,original and cof,0,4,321,test,20,21,0,1
3042,original and cof,0,4,322,train,259,249,37,27
3043,original and cof,0,4,322,test,21,21,0,0
3044,original and cof,0,4,323,train,259,253,33,27
3045,original and cof,0,4,323,test,20,21,0,1
3046,original and cof,0,4,324,train,259,249,37,27
3047,original and cof,0,4,324,test,21,21,0,0
3048,original and cof,0,4,325,train,259,253,33,27
3049,original and cof,0,4,325,test,20,21,0,1
3050,original and cof,0,4,326,train,259,249,37,27
3051,original and cof,0,4,326,test,21,21,0,0
3052,original and cof,0,4,327,train,259,253,33,27
3053,original and cof,0,4,327,test,20,21,0,1
3054,original and cof,0,4,328,train,260,249,37,26
3055,original and cof,0,4,328,test,21,21,0,0
3056,original and cof,0,4,329,train,259,253,33,27
3057,original and cof,0,4,329,test,20,21,0,1
3058,original and cof,0,4,330,train,260,250,36,26
3059,original and cof,0,4,330,test,21,21,0,0
3060,original and cof,0,4,331,train,259,253,33,27
3061,original and cof,0,4,331,test,20,21,0,1
3062,original and cof,0,4,332,train,260,249,37,26
3063,original and cof,0,4,332,test,21,21,0,0
3064,original and cof,0,4,333,train,259,253,33,27
3065,original and cof,0,4,333,test,20,21,0,1
3066,original and cof,0,4,334,train,260,249,37,26
3067,original and cof,0,4,334,test,21,21,0,0
3068,original and cof,0,4,335,train,259,253,33,27
3069,original and cof,0,4,335,test,20,21,0,1
3070,original and cof,0,4,336,train,260,249,37,26
3071,original and cof,0,4,336,test,21,21,0,0
3072,original and cof,0,4,337,train,259,253,33,27
3073,original and cof,0,4,337,test,20,21,0,1
3074,original and cof,0,4,338,train,260,249,37,26
3075,original and cof,0,4,338,test,21,21,0,0
3076,original and cof,0,4,339,train,259,253,33,27
3077,original and cof,0,4,339,test,20,21,0,1
3078,original and cof,0,4,340,train,260,249,37,26
3079,original and cof,0,4,340,test,21,21,0,0
3080,original and cof,0,4,341,train,259,253,33,27
3081,original and cof,0,4,341,test,20,21,0,1
3082,original and cof,0,4,342,train,260,249,37,26
3083,original and cof,0,4,342,test,21,21,0,0
3084,original and cof,0,4,343,train,259,253,33,27
3085,original and cof,0,4,343,test,20,21,0,1
3086,original and cof,0,4,344,train,260,249,37,26
3087,original and cof,0,4,344,test,21,21,0,0
3088,original and cof,0,4,345,train,259,253,33,27
3089,original and cof,0,4,345,test,20,21,0,1
3090,original and cof,0,4,346,train,260,249,37,26
3091,original and cof,0,4,346,test,21,21,0,0
3092,original and cof,0,4,347,train,259,253,33,27
3093,original and cof,0,4,347,test,20,21,0,1
3094,original and cof,0,4,348,train,260,249,37,26
3095,original and cof,0,4,348,test,20,21,0,1
3096,original and cof,0,4,349,train,259,253,33,27
3097,original and cof,0,4,349,test,20,21,0,1
3098,original and cof,0,4,350,train,260,249,37,26
3099,original and cof,0,4,350,test,20,21,0,1
3100,original and cof,0,4,351,train,259,253,33,27
3101,original and cof,0,4,351,test,20,21,0,1
3102,original and cof,0,4,352,train,260,249,37,26
3103,original and cof,0,4,352,test,20,21,0,1
3104,original and cof,0,4,353,train,259,253,33,27
3105,original and cof,0,4,353,test,20,21,0,1
3106,original and cof,0,4,354,train,260,249,37,26
3107,original and cof,0,4,354,test,20,21,0,1
3108,original and cof,0,4,355,train,259,253,33,27
3109,original and cof,0,4,355,test,20,21,0,1
3110,original and cof,0,4,356,train,260,249,37,26
3111,original and cof,0,4,356,test,20,21,0,1
3112,original and cof,0,4,357,train,259,254,32,27
3113,original and cof,0,4,357,test,20,21,0,1
3114,original and cof,0,4,358,train,260,249,37,26
3115,original and cof,0,4,358,test,20,21,0,1
3116,original and cof,0,4,359,train,259,254,32,27
3117,original and cof,0,4,359,test,20,21,0,1
3118,original and cof,0,4,360,train,261,249,37,25
3119,original and cof,0,4,360,test,20,21,0,1
3120,original and cof,0,4,361,train,259,254,32,27
3121,original and cof,0,4,361,test,20,21,0,1
3122,original and cof,0,4,362,train,261,249,37,25
3123,original and cof,0,4,362,test,20,21,0,1
3124,original and cof,0,4,363,train,259,254,32,27
3125,original and cof,0,4,363,test,20,21,0,1
3126,original and cof,0,4,364,train,261,249,37,25
3127,original and cof,0,4,364,test,20,21,0,1
3128,original and cof,0,4,365,train,259,254,32,27
3129,original and cof,0,4,365,test,20,21,0,1
3130,original and cof,0,4,366,train,261,249,37,25
3131,original and cof,0,4,366,test,20,21,0,1
3132,original and cof,0,4,367,train,259,254,32,27
3133,original and cof,0,4,367,test,20,21,0,1
3134,original and cof,0,4,368,train,261,249,37,25
3135,original and cof,0,4,368,test,20,21,0,1
3136,original and cof,0,4,369,train,259,254,32,27
3137,original and cof,0,4,369,test,20,21,0,1
3138,original and cof,0,4,370,train,261,249,37,25
3139,original and cof,0,4,370,test,20,21,0,1
3140,original and cof,0,4,371,train,259,254,32,27
3141,original and cof,0,4,371,test,20,21,0,1
3142,original and cof,0,4,372,train,261,249,37,25
3143,original and cof,0,4,372,test,20,21,0,1
3144,original and cof,0,4,373,train,259,253,33,27
3145,original and cof,0,4,373,test,20,21,0,1
3146,original and cof,0,4,374,train,261,249,37,25
3147,original and cof,0,4,374,test,20,21,0,1
3148,original and cof,0,4,375,train,259,253,33,27
3149,original and cof,0,4,375,test,20,21,0,1
3150,original and cof,0,4,376,train,261,249,37,25
3151,original and cof,0,4,376,test,20,21,0,1
3152,original and cof,0,4,377,train,259,253,33,27
3153,original and cof,0,4,377,test,20,21,0,1
3154,original and cof,0,4,378,train,261,249,37,25
3155,original and cof,0,4,378,test,20,21,0,1
3156,original and cof,0,4,379,train,259,253,33,27
3157,original and cof,0,4,379,test,20,21,0,1
3158,original and cof,0,4,380,train,261,249,37,25
3159,original and cof,0,4,380,test,20,21,0,1
3160,original and cof,0,4,381,train,259,253,33,27
3161,original and cof,0,4,381,test,20,21,0,1
3162,original and cof,0,4,382,train,261,249,37,25
3163,original and cof,0,4,382,test,20,21,0,1
3164,original and cof,0,4,383,train,259,253,33,27
3165,original and cof,0,4,383,test,20,21,0,1
3166,original and cof,0,4,384,train,261,249,37,25
3167,original and cof,0,4,384,test,20,21,0,1
3168,original and cof,0,4,385,train,259,253,33,27
3169,original and cof,0,4,385,test,20,21,0,1
3170,original and cof,0,4,386,train,261,249,37,25
3171,original and cof,0,4,386,test,20,21,0,1
3172,original and cof,0,4,387,train,259,253,33,27
3173,original and cof,0,4,387,test,20,21,0,1
3174,original and cof,0,4,388,train,261,249,37,25
3175,original and cof,0,4,388,test,20,21,0,1
3176,original and cof,0,4,389,train,259,253,33,27
3177,original and cof,0,4,389,test,20,21,0,1
3178,original and cof,0,4,390,train,261,249,37,25
3179,original and cof,0,4,390,test,20,21,0,1
3180,original and cof,0,4,391,train,260,253,33,26
3181,original and cof,0,4,391,test,19,21,0,2
3182,original and cof,0,4,392,train,261,249,37,25
3183,original and cof,0,4,392,test,20,21,0,1
3184,original and cof,0,4,393,train,260,253,33,26
3185,original and cof,0,4,393,test,19,21,0,2
3186,original and cof,0,4,394,train,261,249,37,25
3187,original and cof,0,4,394,test,20,21,0,1
3188,original and cof,0,4,395,train,260,253,33,26
3189,original and cof,0,4,395,test,19,21,0,2
3190,original and cof,0,4,396,train,261,249,37,25
3191,original and cof,0,4,396,test,20,21,0,1
3192,original and cof,0,4,397,train,260,253,33,26
3193,original and cof,0,4,397,test,19,21,0,2
3194,original and cof,0,4,398,train,261,249,37,25
3195,original and cof,0,4,398,test,20,21,0,1
3196,original and cof,0,4,399,train,260,253,33,26
3197,original and cof,0,4,399,test,19,21,0,2
3198,original and cof,0,4,400,train,261,249,37,25
3199,original and cof,0,4,400,test,20,21,0,1
3200,original and cof,0,5,1,train,286,0,286,0
3201,original and cof,0,5,1,test,19,0,21,2
3202,original and cof,0,5,2,train,286,0,286,0
3203,original and cof,0,5,2,test,21,0,21,0
3204,original and cof,0,5,3,train,286,0,286,0
3205,original and cof,0,5,3,test,21,0,21,0
3206,original and cof,0,5,4,train,286,0,286,0
3207,original and cof,0,5,4,test,21,0,21,0
3208,original and cof,0,5,5,train,286,0,286,0
3209,original and cof,0,5,5,test,21,0,21,0
3210,original and cof,0,5,6,train,286,0,286,0
3211,original and cof,0,5,6,test,21,0,21,0
3212,original and cof,0,5,7,train,286,0,286,0
3213,original and cof,0,5,7,test,21,0,21,0
3214,original and cof,0,5,8,train,286,0,286,0
3215,original and cof,0,5,8,test,21,0,21,0
3216,original and cof,0,5,9,train,286,0,286,0
3217,original and cof,0,5,9,test,21,0,21,0
3218,original and cof,0,5,10,train,286,0,286,0
3219,original and cof,0,5,10,test,21,0,21,0
3220,original and cof,0,5,11,train,286,0,286,0
3221,original and cof,0,5,11,test,21,0,21,0
3222,original and cof,0,5,12,train,286,0,286,0
3223,original and cof,0,5,12,test,21,0,21,0
3224,original and cof,0,5,13,train,286,0,286,0
3225,original and cof,0,5,13,test,21,0,21,0
3226,original and cof,0,5,14,train,286,0,286,0
3227,original and cof,0,5,14,test,21,0,21,0
3228,original and cof,0,5,15,train,286,0,286,0
3229,original and cof,0,5,15,test,21,0,21,0
3230,original and cof,0,5,16,train,286,0,286,0
3231,original and cof,0,5,16,test,21,0,21,0
3232,original and cof,0,5,17,train,286,0,286,0
3233,original and cof,0,5,17,test,21,0,21,0
3234,original and cof,0,5,18,train,286,0,286,0
3235,original and cof,0,5,18,test,21,0,21,0
3236,original and cof,0,5,19,train,286,0,286,0
3237,original and cof,0,5,19,test,21,0,21,0
3238,original and cof,0,5,20,train,286,0,286,0
3239,original and cof,0,5,20,test,21,0,21,0
3240,original and cof,0,5,21,train,286,1,285,0
3241,original and cof,0,5,21,test,21,0,21,0
3242,original and cof,0,5,22,train,286,3,283,0
3243,original and cof,0,5,22,test,21,0,21,0
3244,original and cof,0,5,23,train,286,9,277,0
3245,original and cof,0,5,23,test,21,0,21,0
3246,original and cof,0,5,24,train,286,16,270,0
3247,original and cof,0,5,24,test,21,1,20,0
3248,original and cof,0,5,25,train,286,26,260,0
3249,original and cof,0,5,25,test,21,2,19,0
3250,original and cof,0,5,26,train,285,34,252,1
3251,original and cof,0,5,26,test,21,3,18,0
3252,original and cof,0,5,27,train,282,41,245,4
3253,original and cof,0,5,27,test,21,5,16,0
3254,original and cof,0,5,28,train,280,56,230,6
3255,original and cof,0,5,28,test,21,5,16,0
3256,original and cof,0,5,29,train,275,67,219,11
3257,original and cof,0,5,29,test,21,6,15,0
3258,original and cof,0,5,30,train,270,81,205,16
3259,original and cof,0,5,30,test,21,8,13,0
3260,original and cof,0,5,31,train,262,93,193,24
3261,original and cof,0,5,31,test,21,9,12,0
3262,original and cof,0,5,32,train,260,103,183,26
3263,original and cof,0,5,32,test,21,9,12,0
3264,original and cof,0,5,33,train,256,118,168,30
3265,original and cof,0,5,33,test,21,10,11,0
3266,original and cof,0,5,34,train,251,127,159,35
3267,original and cof,0,5,34,test,21,12,9,0
3268,original and cof,0,5,35,train,243,133,153,43
3269,original and cof,0,5,35,test,21,13,8,0
3270,original and cof,0,5,36,train,234,141,145,52
3271,original and cof,0,5,36,test,21,13,8,0
3272,original and cof,0,5,37,train,229,149,137,57
3273,original and cof,0,5,37,test,21,14,7,0
3274,original and cof,0,5,38,train,228,156,130,58
3275,original and cof,0,5,38,test,21,16,5,0
3276,original and cof,0,5,39,train,224,166,120,62
3277,original and cof,0,5,39,test,21,16,5,0
3278,original and cof,0,5,40,train,222,172,114,64
3279,original and cof,0,5,40,test,21,17,4,0
3280,original and cof,0,5,41,train,214,176,110,72
3281,original and cof,0,5,41,test,21,17,4,0
3282,original and cof,0,5,42,train,212,180,106,74
3283,original and cof,0,5,42,test,21,17,4,0
3284,original and cof,0,5,43,train,205,185,101,81
3285,original and cof,0,5,43,test,21,18,3,0
3286,original and cof,0,5,44,train,202,193,93,84
3287,original and cof,0,5,44,test,21,18,3,0
3288,original and cof,0,5,45,train,199,196,90,87
3289,original and cof,0,5,45,test,21,18,3,0
3290,original and cof,0,5,46,train,196,197,89,90
3291,original and cof,0,5,46,test,21,18,3,0
3292,original and cof,0,5,47,train,195,200,86,91
3293,original and cof,0,5,47,test,21,18,3,0
3294,original and cof,0,5,48,train,193,203,83,93
3295,original and cof,0,5,48,test,21,18,3,0
3296,original and cof,0,5,49,train,192,203,83,94
3297,original and cof,0,5,49,test,21,18,3,0
3298,original and cof,0,5,50,train,191,204,82,95
3299,original and cof,0,5,50,test,21,18,3,0
3300,original and cof,0,5,51,train,190,209,77,96
3301,original and cof,0,5,51,test,21,18,3,0
3302,original and cof,0,5,52,train,190,214,72,96
3303,original and cof,0,5,52,test,21,18,3,0
3304,original and cof,0,5,53,train,189,216,70,97
3305,original and cof,0,5,53,test,21,18,3,0
3306,original and cof,0,5,54,train,186,217,69,100
3307,original and cof,0,5,54,test,21,18,3,0
3308,original and cof,0,5,55,train,182,218,68,104
3309,original and cof,0,5,55,test,21,18,3,0
3310,original and cof,0,5,56,train,180,218,68,106
3311,original and cof,0,5,56,test,21,18,3,0
3312,original and cof,0,5,57,train,180,221,65,106
3313,original and cof,0,5,57,test,21,18,3,0
3314,original and cof,0,5,58,train,179,222,64,107
3315,original and cof,0,5,58,test,21,18,3,0
3316,original and cof,0,5,59,train,179,222,64,107
3317,original and cof,0,5,59,test,21,18,3,0
3318,original and cof,0,5,60,train,178,224,62,108
3319,original and cof,0,5,60,test,21,18,3,0
3320,original and cof,0,5,61,train,178,226,60,108
3321,original and cof,0,5,61,test,21,18,3,0
3322,original and cof,0,5,62,train,178,228,58,108
3323,original and cof,0,5,62,test,21,18,3,0
3324,original and cof,0,5,63,train,178,228,58,108
3325,original and cof,0,5,63,test,20,18,3,1
3326,original and cof,0,5,64,train,177,228,58,109
3327,original and cof,0,5,64,test,20,18,3,1
3328,original and cof,0,5,65,train,177,228,58,109
3329,original and cof,0,5,65,test,20,18,3,1
3330,original and cof,0,5,66,train,177,229,57,109
3331,original and cof,0,5,66,test,20,18,3,1
3332,original and cof,0,5,67,train,176,229,57,110
3333,original and cof,0,5,67,test,20,18,3,1
3334,original and cof,0,5,68,train,175,230,56,111
3335,original and cof,0,5,68,test,20,18,3,1
3336,original and cof,0,5,69,train,175,232,54,111
3337,original and cof,0,5,69,test,20,18,3,1
3338,original and cof,0,5,70,train,174,234,52,112
3339,original and cof,0,5,70,test,20,18,3,1
3340,original and cof,0,5,71,train,174,234,52,112
3341,original and cof,0,5,71,test,20,18,3,1
3342,original and cof,0,5,72,train,173,235,51,113
